ts,inverter,code,meaning
2017-03-06 13:35:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 13:40:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 13:45:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 13:50:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 13:55:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 14:00:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 14:05:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 14:10:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 14:15:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 14:20:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 14:25:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 14:30:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 14:35:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 14:40:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 14:45:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 14:50:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 14:55:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 15:00:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 15:05:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 15:10:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 15:15:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 15:20:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 15:25:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 15:30:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 15:35:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 15:40:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 15:45:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 15:50:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-03-06 15:55:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-06-02 15:25:00,01.01.001,655372,Überschreiten der negativen hochgesetzten Zwischenkreisspannung über G
2017-10-29 06:00:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-10-29 06:05:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-10-29 06:10:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-10-29 06:15:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-10-29 06:20:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-10-29 06:25:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-10-29 06:30:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-10-29 06:35:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-10-29 06:40:00,01.01.001,655616,Störmeldung vom Leistungsteil
2017-10-29 06:45:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 06:50:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 06:55:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 07:00:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 07:05:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 07:10:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 07:15:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 07:20:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 07:25:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 07:30:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 07:35:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 07:40:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 07:45:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 07:50:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 07:55:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 08:00:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 08:05:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 08:10:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 08:15:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 08:20:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 08:25:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 08:30:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 08:35:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 08:40:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 08:45:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 08:50:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 08:55:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 09:00:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
2017-10-29 09:05:00,01.01.001,655626,"Erkennung von Netzunterspannung (ENS,Leistungsteil)"
