inverter,kwp,orient,days_with_data,drift_pct_per_month,n_episodes,max_episode_decline_pct,episodes
05.01.092,73.92,O,1287,0.031,1,8.73,2018-05-22->2018-07-23 -8.73%/+5.9%
05.04.099,73.92,W,1292,0.001,1,3.49,2023-06-06->2023-09-04 -3.49%/+2.58%
05.05.100,73.92,W,1249,0.016,1,3.01,2021-08-23->2021-09-07 -3.01%/+2.36%
03.08.059,73.92,W,1292,-0.014,1,13.96,2023-07-25->2023-10-04 -13.96%/+2.19%
03.08.058,73.92,W,1292,0.014,1,4.16,2019-04-15->2019-07-14 -4.16%/+2.51%
03.02.047,73.92,W,1292,-0.036,1,4.1,2025-07-06->2025-07-29 -4.1%/+7.52%
04.08.089,73.92,W,1292,-0.008,1,3.99,2023-05-13->2023-08-11 -3.99%/+3.34%
04.07.087,73.92,W,1292,-0.008,1,7.7,2024-06-29->2024-09-11 -7.7%/+2.66%
03.02.046,73.92,W,1292,0.007,1,4.08,2026-04-04->2026-05-15 -4.08%/+3.14%
01.07.014,73.92,W,1292,0.027,1,17.39,2023-07-17->2023-10-04 -17.39%/+2.24%
01.04.008,73.92,O,1292,0.002,0,,
01.05.010,73.92,O,1288,-0.023,0,,
01.03.006,73.92,O,1292,-0.008,0,,
01.05.009,73.92,O,1270,0.0,0,,
01.07.013,73.92,W,1292,0.005,0,,
01.04.007,73.92,O,1292,0.004,0,,
02.05.038,73.92,W,1288,-0.042,0,,
01.14.028,73.92,O,1292,-0.009,0,,
02.02.032,73.92,W,1288,-0.031,0,,
02.03.034,73.92,W,1288,-0.026,0,,
01.08.016,73.92,W,1292,-0.008,0,,
01.09.017,73.92,W,1292,0.001,0,,
01.09.018,73.92,W,1292,-0.009,0,,
01.08.015,73.92,W,1292,0.01,0,,
01.10.019,73.92,W,1292,0.012,0,,
01.10.020,73.92,W,1272,0.006,0,,
01.11.021,73.92,W,1292,0.001,0,,
01.12.023,73.92,W,1292,0.011,0,,
01.12.024,73.92,W,1292,0.003,0,,
01.13.025,73.92,O,1292,0.015,0,,
01.13.026,73.92,O,1292,-0.004,0,,
01.14.027,73.92,O,1292,0.01,0,,
01.06.012,73.92,O,1290,-0.018,0,,
03.09.061,73.92,O,1292,-0.001,0,,
03.10.062,73.92,W,1292,0.009,0,,
03.10.063,73.92,W,1292,-0.016,0,,
03.09.060,73.92,O,1292,0.004,0,,
03.03.049,73.92,W,1292,0.011,0,,
03.03.048,73.92,W,1292,0.012,0,,
03.01.045,73.92,W,1273,-0.029,0,,
03.04.051,73.92,W,1292,0.002,0,,
03.04.050,73.92,W,1292,0.014,0,,
03.05.052,73.92,W,1292,0.008,0,,
03.05.053,73.92,W,1272,-0.007,0,,
03.06.055,73.92,W,1292,0.006,0,,
03.06.054,73.92,W,1292,0.01,0,,
03.07.057,73.92,W,1292,0.005,0,,
03.07.056,73.92,W,1292,0.01,0,,
04.01.075,73.92,O,1292,0.036,0,,
04.01.074,73.92,O,1292,-0.06,0,,
03.15.073,73.92,W,1284,0.002,0,,
03.15.072,73.92,W,1284,0.002,0,,
03.14.071,73.92,W,1284,0.006,0,,
03.14.070,73.92,W,1284,0.003,0,,
03.13.069,73.92,W,1281,0.008,0,,
03.13.068,73.92,W,1285,-0.015,0,,
