timestamp,01.01.001,01.01.002,01.01.003,01.01.004,01.01.005,01.01.006,01.01.007,01.02.008,01.02.009,01.02.010,01.02.011,01.02.012,01.02.013,01.02.014,01.03.015,01.03.016,01.03.017,01.03.018,01.03.019,01.03.020,01.03.021,01.04.022,01.04.023,01.04.024,01.04.025,01.04.026,01.04.027,01.04.028,01.05.029,01.05.030,01.05.031,01.05.032,01.05.033,01.05.034,01.05.035,01.06.036,01.06.037,01.06.038,01.06.039,01.06.040,01.06.041,01.06.042,01.06.043,01.07.044,01.07.045,01.07.046,01.07.047,01.07.048,01.07.049,01.07.050,01.07.051,01.08.052,01.08.053,01.08.054,01.08.055,01.08.056,01.08.057,01.08.058,01.08.059,01.09.060,01.09.061,01.09.062,01.09.063,01.09.064,01.09.065
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,1.115656,0.88352877,0.083021134,0.062316306,0.47489148,0.9860394,0.0701425,1.1197833,0.90916145,0.08533144,0.06605986,0.9775112,0.07469454,0.48796976,1.1256262,0.8517172,0.08276468,0.065123685,1.0043652,0.077864684,0.46199062,1.1365626,0.9281614,0.09000507,0.07083933,0.5018186,0.39980152,0.4949857,0.4829188,0.44612405,0.48178697,0.5806112,0.55869657,1.0504377,0.49425688,1.1028755,0.9117413,0.08451797,0.06547114,1.0637443,0.84124684,0.0773422,0.06436411,1.1097689,0.85605013,0.094144285,0.07552109,1.0675129,0.9006759,0.092524074,0.076265395,0.43857485,0.43881708,1.1230022,0.8465041,0.090714365,0.07346499,0.47584108,0.63494927,1.1265179,0.936123,0.09512235,0.07969,1.009894,0.08839172
2017-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-03,0.020414615,0.002891914,0.0027059636,0.0,0.014042108,0.011661149,0.00016057164,0.018264672,0.0025594302,0.00203866,0.008891011,0.010511382,0.0,0.010813025,0.01736217,0.0039914735,0.0019769503,0.0055186474,,0.0015206034,0.0112208305,0.022516811,0.010462633,0.002469914,0.025065586,0.01694956,0.020265639,0.017846508,0.018047879,0.015652059,0.011699356,0.018453604,0.01624796,0.030539721,0.017817756,0.014223694,0.0010272335,0.0013392486,0.00060552807,0.019145679,0.004770377,0.00048168076,0.003990887,0.023343125,0.012222927,0.0069865203,0.011119658,0.02118815,0.00934158,0.0044650575,0.0066525065,0.0126350345,0.016014725,0.025127603,0.014517959,0.00848017,0.020594202,0.01623074,0.014192069,0.026206208,0.014601321,0.0042057913,0.010777804,0.020813249,0.00704795
2017-01-04,0.9062575,0.84837687,0.5435021,0.7011647,0.8090651,0.8748709,0.53234005,0.9079583,0.8745913,0.45398107,0.6564543,0.8714302,0.42813003,0.82146096,0.880983,0.7922053,0.3067663,0.58662355,0.83597594,0.60520244,0.73172754,0.96150005,0.88524765,0.35682827,0.64000267,0.78368396,0.832815,0.8216539,0.769039,0.842859,0.73802507,0.7902548,0.7687098,0.9507165,0.8504395,0.8911958,0.8527893,0.5247508,0.74524355,0.9042155,0.8529197,0.45740506,0.58673024,0.88707614,0.73296344,0.4116537,0.536809,0.8714931,0.8035672,0.41436413,0.50327384,0.6560596,0.684619,0.8367587,0.8348011,0.5563896,0.5592748,0.73615587,0.6676485,0.88409823,0.5561759,0.38131836,0.72265697,0.84986186,0.6188962
2017-01-05,0.07343389,0.046923492,0.02233712,0.028748669,0.0384545,0.059983153,0.022645373,0.07398449,0.049318817,0.018025957,0.022414451,0.05840027,0.01981907,0.036762305,0.08016343,0.05254556,0.022258028,0.028661383,0.063040644,0.027313404,0.038583513,0.089171246,0.059977632,0.02384543,0.028102065,0.045735016,0.04513648,0.048015613,0.047700156,0.04661224,0.0487288,0.053350896,0.052629706,0.08972742,0.039298773,0.06304499,0.04632234,0.019550664,0.0244573,0.06434519,0.04749151,0.020773152,0.021150652,0.07887188,0.056703266,0.026198294,0.03068216,0.07406075,0.054282732,0.025549324,0.030525904,0.04362148,0.044100877,0.08576037,0.05884688,0.02782672,0.028334083,0.04584498,0.052483343,0.095539734,0.060332082,0.026969813,0.029290734,0.07397736,0.030701859
2017-01-06,0.046318457,0.026734877,0.02009697,0.02408581,0.030346483,0.035785843,0.020712834,0.04579411,0.02717448,0.021014027,0.02798357,0.03616869,0.019932974,0.02778077,0.05172465,0.032388184,0.021940198,0.028298225,0.040592033,0.026754156,0.028636215,0.05981233,0.03739165,0.025528489,0.031135928,0.032254975,0.034529876,0.03868516,0.038151234,0.038278356,0.039373167,0.037259787,0.040786482,0.061646417,0.03070418,0.03840044,0.025724933,0.020643797,0.021941492,0.039906595,0.02726487,0.020205552,0.02444724,0.054196488,0.0360657,0.02699756,0.031663574,0.050612014,0.034241263,0.027508311,0.031422496,0.034333598,0.03714499,0.059802014,0.037003074,0.029371167,0.03351491,0.03812486,0.0391972,0.065979905,0.038980734,0.028093131,0.03410654,0.05003169,0.03163421
2017-01-07,0.0731072,0.04314149,0.036849268,0.043904252,0.05494836,0.057668656,0.040250096,0.071940936,0.04530865,0.037238427,0.049949065,0.05800383,0.0385837,0.049052343,0.08221461,0.056268483,0.039484236,0.05255819,0.06620751,0.049309377,0.051941093,0.09525344,0.06543188,0.0458016,0.06078895,0.057922892,0.061940998,0.06994187,0.068556786,0.069685735,0.07031483,0.06370752,0.07248047,0.10220132,0.055186998,0.057641394,0.04300649,0.037101172,0.039957725,0.06421329,0.045070685,0.033035576,0.044943463,0.08736246,0.063104086,0.04997116,0.062390447,0.08183235,0.058558032,0.049530182,0.06296945,0.06383019,0.06764379,0.09556024,0.06412385,0.05295195,0.06379578,0.06730325,0.06880331,0.106309645,0.06684809,0.050606426,0.06426624,0.08127357,0.05957032
2017-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
